From	To
P13639	EEF2
Q6UB35	MTHFD1L
Q71U36	TUBA1A
P83731	RPL24
P42677	RPS27
Q99439	CNN2
Q06323	PSME1
P49591	SARS1
Q96RS6	NUDCD1
Q9BXJ9	NAA15
Q13155	AIMP2
O75663	TIPRL
P49327	FASN
P36578	RPL4
Q9NXG2	THUMPD1
P27707	DCK
O00303	EIF3F
Q15084	PDIA6
Q96JB2	COG3
P46109	CRKL
Q09161	NCBP1
O15294	OGT
Q9HA64	FN3KRP
Q9Y6G9	DYNC1LI1
P52597	HNRNPF
Q99497	PARK7
A6NDG6	PGP
Q14566	MCM6
Q00610	CLTC
Q9UKF6	CPSF3
Q8TAQ2	SMARCC2
P68036	UBE2L3
P49588	AARS1
Q96IJ6	GMPPA
P17987	TCP1
O00429	DNM1L
P30101	PDIA3
Q9ULA0	DNPEP
P68366	TUBA4A
P04183	TK1
Q15021	NCAPD2
P12268	IMPDH2
P25705	ATP5F1A
Q9NX24	NHP2
P43686	PSMC4
Q9BTA9	WAC
P11586	MTHFD1
A0AVT1	UBA6
Q96AB3	ISOC2
Q9BTE3	MCMBP
P22061	PCMT1
P55060	CSE1L
P42224	STAT1
Q96RN5	MED15
P23919	DTYMK
P42166	TMPO
O14777	NDC80
Q9Y3D0	CIAO2B
P54136	RARS1
Q8TBC4	UBA3
Q13573	SNW1
P34932	HSPA4
Q06203	PPAT
P51649	ALDH5A1
P27708	CAD
P22234	PAICS
Q6ICB0	DESI1
P62333	PSMC6
Q01813	PFKP
P38606	ATP6V1A
Q9HAV7	GRPEL1
Q14738	PPP2R5D
P51570	GALK1
Q0VGL1	LAMTOR4
P43246	MSH2
Q00839	HNRNPU
Q8WW01	TSEN15
O60610	DIAPH1
Q9NVM9	INTS13
O15067	PFAS
P35611	ADD1
O95229	ZWINT
Q969Q0	RPL36AL
Q29RF7	PDS5A
Q9UKX7	NUP50
P18621	RPL17
P49189	ALDH9A1
Q13428	TCOF1
Q9BRF8	CPPED1
O00170	AIP
Q9UNI6	DUSP12
P52657	GTF2A2
P53602	MVD
O43175	PHGDH
Q06830	PRDX1
Q00796	SORD
P31949	S100A11
Q9NXV6	CDKN2AIP
Q13162	PRDX4
Q15003	NCAPH
Q01433	AMPD2
O75874	IDH1
Q9H0C8	ILKAP
O75362	ZNF217
P10644	PRKAR1A
P51610	HCFC1
P0CB43	HGH1
O60825	PFKFB2
Q15813	TBCE
P30044	PRDX5
Q8N1F7	NUP93
P40763	STAT3
O95071	UBR5
Q9Y3Z3	SAMHD1
O75717	WDHD1
Q9NPF4	OSGEP
P16455	MGMT
Q96GG9	DCUN1D1
P37198	NUP62
P00813	ADA
O75153	CLUH
A6NDU8	RIMOC1
Q15208	STK38
Q9UKV3	ACIN1
P45984	MAPK9
Q14204	DYNC1H1
P13796	LCP1
Q9NWV8	BABAM1
O14879	IFIT3
P50749	RASSF2
O43396	TXNL1
Q96FX7	TRMT61A
Q9UBQ7	GRHPR
P05091	ALDH2
Q9NZL4	HSPBP1
O75439	PMPCB
Q8TC07	TBC1D15
