Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,ClCC(=O)N1CCCc2c1ccc(c2)OC,C12H14ClNO2,239.7,16,6,0.42,3,2,0,67.54,29.54,2.35,2.27,1.83,1.99,2.65,2.22,-2.84,3.50e-01,1.46e-03,Soluble,-2.53,7.12e-01,2.97e-03,Soluble,-3.67,5.15e-02,2.15e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.15,0,0,0,0,0,0.55,0,1,1,1.96
Molecule 2,C=CC(=O)N(c1ccccc1)c1ccc(cc1)Br,C15H12BrNO,302.17,18,12,0,4,1,0,77.93,20.31,3.07,4.29,4.3,4.09,3.54,3.86,-4.65,6.84e-03,2.26e-05,Moderately soluble,-4.43,1.12e-02,3.72e-05,Moderately soluble,-5.49,9.87e-04,3.27e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,No,-5.1,0,0,0,0,0,0.55,0,1,1,2.11
Molecule 3,ClCC(=O)NCCOCCC(C)C,C9H18ClNO2,207.7,13,0,0.89,8,2,1,54.26,38.33,2.28,1.7,1.4,1.29,2.06,1.75,-1.67,4.43e+00,2.13e-02,Very soluble,-2.12,1.57e+00,7.58e-03,Soluble,-3.09,1.69e-01,8.13e-04,Soluble,High,Yes,No,No,No,No,No,No,-6.36,0,0,0,0,0,0.55,0,1,2,2.13
Molecule 4,C=CC(=O)N1CC(C1)c1ccccc1,C12H13NO,187.24,14,6,0.25,3,1,0,59.87,20.31,2.38,1.84,1.42,1.97,2.33,1.99,-2.28,9.84e-01,5.26e-03,Soluble,-1.89,2.43e+00,1.30e-02,Very soluble,-2.73,3.49e-01,1.87e-03,Soluble,High,Yes,No,No,Yes,No,No,No,-6.14,0,0,0,0,1,0.55,0,1,1,1.28
Molecule 5,C=CC(=O)N1CC(C1)n1cccn1,C9H11N3O,177.2,13,5,0.33,3,2,0,51.95,38.13,1.83,0.06,0.07,0.22,0.28,0.49,-1.06,1.53e+01,8.65e-02,Very soluble,-0.41,6.83e+01,3.85e-01,Very soluble,-0.74,3.24e+01,1.83e-01,Soluble,High,No,No,No,No,No,No,No,-7.34,0,0,0,0,1,0.55,0,1,1,1.8
Molecule 6,C=CC(=O)N1CC2(C1c1ccccc1)CCOCC2,C16H19NO2,257.33,19,6,0.44,3,2,0,77.8,29.54,2.62,2.07,1.85,2.13,2.92,2.32,-2.78,4.32e-01,1.68e-03,Soluble,-2.32,1.23e+00,4.79e-03,Soluble,-3.57,6.93e-02,2.69e-04,Soluble,High,Yes,No,No,No,Yes,Yes,No,-6.4,0,0,0,0,0,0.55,0,1,0,2.82
Molecule 7,C=CC(=O)N1Cc2c(C1)cccn2,C10H10N2O,174.2,13,6,0.2,2,2,0,53.01,33.2,1.72,0.35,0.43,0.52,1.7,0.94,-1.35,7.78e+00,4.47e-02,Very soluble,-0.61,4.26e+01,2.45e-01,Very soluble,-2.3,8.67e-01,4.98e-03,Soluble,High,No,No,No,No,No,No,No,-7.11,0,0,0,0,1,0.55,0,1,1,1.78
Molecule 8,C=CC(=O)N1CCC(CC1)c1nocc1,C11H14N2O2,206.24,15,5,0.45,3,3,0,59.54,46.34,2.16,1.03,1.19,0.82,1.68,1.37,-1.82,3.15e+00,1.53e-02,Very soluble,-1.59,5.26e+00,2.55e-02,Very soluble,-2.13,1.52e+00,7.36e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.83,0,0,0,0,0,0.55,0,1,1,2.44
Molecule 9,C=CC(=O)N1CCC2(CC1)OCCc1c2cccc1,C16H19NO2,257.33,19,6,0.44,2,2,0,78.11,29.54,2.79,2.04,1.77,2.13,3.09,2.37,-2.82,3.87e-01,1.51e-03,Soluble,-2.29,1.32e+00,5.15e-03,Soluble,-3.8,4.08e-02,1.58e-04,Soluble,High,Yes,No,No,No,Yes,Yes,No,-6.42,0,0,0,0,0,0.55,0,1,0,2.91
Molecule 10,C=CC(=O)N1CCCC(C1)c1ccccn1,C13H16N2O,216.28,16,6,0.38,3,2,0,67.28,33.2,2.34,1.52,1.59,1.37,2.28,1.82,-2.22,1.31e+00,6.05e-03,Soluble,-1.83,3.23e+00,1.49e-02,Very soluble,-2.92,2.59e-01,1.20e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.54,0,0,0,0,0,0.55,0,1,1,2.41
